City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,san patricio,28.017,-97.5169,296.52,65,55,4.98,US,1682369344
83,uturoa,-16.7333,-151.4333,300.05,81,23,5.16,PF,1682369345
84,piti village,13.4626,144.6933,300.18,91,0,3.6,GU,1682369085
85,agogo,6.8,-1.0819,297.45,87,80,2.34,GH,1682369345
86,isafjordur,66.0755,-23.124,272.68,67,88,4.42,IS,1682369346
87,an nuhud,12.7,28.4333,303.32,35,100,4.76,SD,1682369346
88,iskateley,67.6803,53.1512,265.43,95,100,1.83,RU,1682369346
89,port saint john's,-31.6229,29.5448,296.17,62,99,1.56,ZA,1682369347
90,guiuan,11.0333,125.7247,300.66,77,86,5.02,PH,1682369347
91,thunder bay,48.4001,-89.3168,276.14,55,75,1.03,CA,1682369113
92,zouerate,22.7187,-12.4521,303.17,15,0,1.3,MR,1682369348
93,coaticook,45.1334,-71.7991,282.02,84,100,2.97,CA,1682369348
94,christchurch,-43.5333,172.6333,283.38,86,24,2.57,NZ,1682369196
95,karasu,41.071,30.7854,283.55,80,5,2.08,TR,1682369349
96,tres de maio,-27.7733,-54.24,296.95,54,94,3.06,BR,1682369349
97,sao luis de montes belos,-16.525,-50.3722,296.7,74,10,0.92,BR,1682369349
98,chonchi,-42.6128,-73.8092,285.99,76,100,1.94,CL,1682369350
99,jieshi,22.8134,115.8257,294.41,89,100,6.68,CN,1682369350
100,borogontsy,62.6683,131.1683,268.42,96,100,1.27,RU,1682369100
101,invercargill,-46.4,168.35,284.83,82,90,0.89,NZ,1682369259
102,ribas do rio pardo,-20.4431,-53.7592,296.21,82,78,1.63,BR,1682369351
103,sisimiut,66.9395,-53.6735,274.56,97,100,2.0,GL,1682369351
104,altay,47.8667,88.1167,280.87,50,100,2.42,CN,1682369352
105,bilibino,68.0546,166.4372,265.61,63,1,1.49,RU,1682369352
106,tiksi,71.6872,128.8694,267.48,96,100,5.48,RU,1682369353
107,taoudenni,22.6783,-3.9836,305.5,11,0,3.8,ML,1682369353
108,halifax,44.6453,-63.5724,283.09,81,100,7.2,CA,1682369257
109,stanley,54.868,-1.6985,276.36,76,11,3.13,GB,1682369354
110,tidjikja,18.5564,-11.4271,305.02,12,1,3.76,MR,1682369354
111,jamestown,42.097,-79.2353,279.92,68,100,6.69,US,1682369302
112,george town,5.4112,100.3354,299.11,94,20,1.03,MY,1682369198
113,tamanrasset,22.785,5.5228,298.1,10,20,1.03,DZ,1682369355
114,anadyr,64.75,177.4833,265.43,66,0,4.0,RU,1682369355
115,howrah,22.5892,88.3103,296.15,88,20,0.0,IN,1682369251
116,bihar sharif,25.1833,85.5167,299.71,39,99,1.3,IN,1682369356
117,aasiaat,68.7098,-52.8699,272.86,93,92,2.52,GL,1682369356
118,constantia,44.1833,28.65,281.53,84,100,5.84,RO,1682369357
119,kailua-kona,19.6406,-155.9956,300.53,75,0,3.6,US,1682369095
120,moron,-34.6534,-58.6198,294.79,85,99,2.38,AR,1682369357
121,malango,-2.9627,119.9001,293.04,98,100,0.87,ID,1682369358
122,hermanus,-34.4187,19.2345,286.37,87,0,4.45,ZA,1682369358
123,nyrob,60.733,56.7202,277.74,92,56,2.73,RU,1682369358
124,staryye ozinki,51.1786,49.6769,286.09,86,100,3.15,RU,1682369359
125,cidreira,-30.1811,-50.2056,295.05,82,12,7.63,BR,1682369359
126,fort mcmurray,56.7268,-111.381,284.92,40,100,4.63,CA,1682368906
127,ust-nera,64.5667,143.2,263.37,93,87,3.12,RU,1682369360
128,biltine,14.5333,20.9167,307.11,20,100,2.37,TD,1682369360
129,kargil,34.5667,76.1,269.42,48,0,1.98,IN,1682369360
130,weno,7.4515,151.8468,300.12,89,100,0.0,FM,1682369361
131,idri,27.5,13.2667,297.4,29,65,5.7,LY,1682369361
132,ghat,24.9647,10.1728,299.94,20,52,5.86,LY,1682369362
133,ribeira grande,38.5167,-28.7,290.37,94,20,5.36,PT,1682369362
134,broome,42.2506,-75.833,284.1,65,100,3.13,US,1682369362
135,cooma,-36.2333,149.1333,279.79,92,0,0.63,AU,1682369362
136,colonia,50.9333,6.95,283.13,74,20,2.06,DE,1682369363
137,ilulissat,69.2167,-51.1,274.16,93,20,4.12,GL,1682369363
138,laguna,38.421,-121.4238,300.06,43,0,2.57,US,1682369364
139,keetmanshoop,-26.5833,18.1333,290.66,72,0,3.09,NA,1682369364
140,seme,15.1942,-12.9448,308.43,12,1,2.33,SN,1682369364
141,daru,-9.0763,143.2092,299.74,89,100,5.2,PG,1682369365
142,mao,39.8885,4.2658,289.46,94,40,3.09,ES,1682369365
143,georgetown,5.4112,100.3354,299.11,94,20,1.03,MY,1682369198
144,saint-zotique,45.2501,-74.2492,282.07,76,100,4.63,CA,1682369366
145,morro do chapeu,-11.55,-41.1561,295.22,60,51,5.08,BR,1682369366
146,bubaque,11.2833,-15.8333,298.87,71,3,6.97,GW,1682369367
147,bamboo flat,11.7,92.7167,300.99,77,62,0.46,IN,1682369367
148,imbituba,-28.24,-48.6703,294.49,84,12,3.85,BR,1682369368
149,yellowknife,62.456,-114.3525,282.44,43,75,2.57,CA,1682369368
150,khandyga,62.6667,135.6,268.29,92,100,1.46,RU,1682369369
151,bayanaul,50.7889,75.6956,277.16,61,10,2.68,KZ,1682369369
152,alice springs,-23.7,133.8833,283.9,87,0,3.22,AU,1682369369
153,taro,-8.3862,115.28,296.15,95,43,0.73,ID,1682369370
154,el alto,-4.2714,-81.2147,300.96,74,91,2.44,PE,1682369370
155,dunedin,-45.8742,170.5036,287.08,10,87,7.96,NZ,1682369127
156,khuzdar,27.7384,66.6434,296.24,19,100,0.86,PK,1682369371
157,sitka,57.0531,-135.33,277.09,81,100,5.14,US,1682369371
158,pindushi,62.9152,34.58,274.38,95,79,2.52,RU,1682369371
159,dombarovskiy,50.7587,59.5386,284.85,48,95,2.69,RU,1682369371
160,sola,-13.8833,167.55,300.71,75,64,4.92,VU,1682369372
161,belyy yar,53.6039,91.3903,281.09,46,0,0.0,RU,1682369372
162,hakodate,41.7758,140.7367,279.5,63,14,4.62,JP,1682369372
163,horsham,51.064,-0.3272,280.54,90,75,5.66,GB,1682369373
164,ambon,-3.6954,128.1814,302.01,88,20,2.57,ID,1682369373
165,dudinka,69.4058,86.1778,275.72,80,100,7.56,RU,1682369284
166,ribeira brava,32.65,-17.0667,292.6,79,99,1.45,PT,1682369374
167,badger,64.8,-147.5333,266.29,49,40,6.69,US,1682369374
168,grybow,49.6244,20.948,284.13,97,100,1.69,PL,1682369374
169,brisas de zicatela,15.8369,-97.0419,303.44,66,0,5.14,MX,1682369374
170,wailua homesteads,22.0669,-159.378,298.39,83,0,3.09,US,1682369375
171,college,64.8569,-147.8028,266.33,51,75,6.69,US,1682369375
172,fale old settlement,-9.3852,-171.2468,301.95,73,62,3.71,TK,1682369375
173,kudymkar,59.0173,54.656,282.53,66,50,3.24,RU,1682369376
174,yuzhno-kurilsk,44.0306,145.8556,277.95,58,10,5.74,RU,1682369376
175,upata,8.0086,-62.3989,304.37,66,95,1.3,VE,1682369376
176,terenozek,45.05,64.9833,289.81,30,5,7.0,KZ,1682369377
177,port alfred,-33.5906,26.891,292.69,93,100,1.79,ZA,1682369377
178,sandnessjoen,66.0217,12.6316,274.21,63,0,2.57,NO,1682369377
179,orel,52.9658,36.0803,283.49,72,8,2.52,RU,1682369378
180,san antonio de pale,-1.4014,5.6325,301.53,69,48,0.64,GQ,1682369378
181,udachny,66.4167,112.4,258.68,100,99,1.8,RU,1682369378
182,juneau,58.3019,-134.4197,278.94,93,100,10.8,US,1682369159
183,norilsk,69.3535,88.2027,275.61,84,94,4.34,RU,1682369379
184,lyubymivka,46.8106,33.5686,283.59,72,100,3.3,UA,1682369379
185,callao,-12.0667,-77.15,299.31,69,0,6.69,PE,1682369380
186,fort st. john,56.2499,-120.8529,276.09,93,100,3.09,CA,1682369380
187,brak,27.5496,14.2714,297.83,29,66,7.56,LY,1682369381
188,chimala,-8.85,34.0167,291.27,89,10,1.41,TZ,1682369381
189,margaret river,-33.95,115.0667,286.06,78,100,7.69,AU,1682369381
190,nicoya,10.1483,-85.452,304.76,54,79,4.32,CR,1682369256
191,rio san juan,19.6439,-70.0763,299.73,64,51,3.58,DO,1682369382
192,queenstown,-31.8976,26.8753,289.66,57,100,1.41,ZA,1682369382
193,esperanza,19.5847,-70.9849,305.47,62,32,2.24,DO,1682369382
194,alofi,-19.0595,-169.9187,298.09,88,75,2.57,NU,1682369382
195,guaratuba,-25.8828,-48.5747,297.12,83,2,2.28,BR,1682369129
196,san luis de la loma,17.2706,-100.8939,302.93,62,84,4.12,MX,1682369383
197,kingston,17.997,-76.7936,303.28,71,49,0.45,JM,1682369332
198,petropavlovsk-kamchatsky,53.0452,158.6483,274.48,60,75,1.0,RU,1682369257
199,el granada,37.5027,-122.4694,297.84,66,0,10.8,US,1682369384
200,salalah,17.0151,54.0924,302.2,74,20,2.06,OM,1682369384
201,visakhapatnam,17.69,83.2093,300.17,77,44,0.53,IN,1682369385
202,yangambi,0.8102,24.4336,293.23,93,79,1.09,CD,1682369385
203,mathba,22.2855,89.9629,298.03,63,39,1.59,BD,1682369386
204,tolanaro,-25.0319,46.9987,296.19,83,75,2.06,MG,1682369386
205,miles city,46.4083,-105.8406,290.69,23,0,5.14,US,1682369387
206,mount isa,-20.7333,139.5,292.02,55,40,2.06,AU,1682369387
207,vizinga,61.0749,50.1031,283.88,69,82,3.72,RU,1682369387
208,klyuchi,52.2667,79.1667,278.22,63,29,4.62,RU,1682369387
209,urengoy,65.9667,78.3667,267.39,94,100,4.92,RU,1682369388
210,lensk,60.7253,114.9278,265.99,99,78,1.04,RU,1682369388
211,tougue,11.4667,-11.6,300.97,25,42,1.46,GN,1682369388
212,shalya,57.2471,58.7298,281.51,72,94,2.71,RU,1682369388
213,belyayevka,51.3974,56.4096,285.93,46,100,1.84,RU,1682369389
214,uttar char fasson,22.2332,90.7132,300.41,62,8,3.51,BD,1682369389
215,bikenibeu village,1.3673,173.1241,302.13,84,20,3.6,KI,1682369389
216,ebon,4.582,168.6964,301.25,79,100,7.2,MH,1682369390
217,vilyuchinsk,52.9306,158.4028,275.3,75,40,2.72,RU,1682369258
218,tazovsky,67.4667,78.7,264.47,96,97,3.96,RU,1682369390
219,luau,-10.7073,22.2247,292.26,91,70,1.34,AO,1682369391
220,port lincoln,-34.7333,135.8667,291.52,56,49,2.66,AU,1682369391
221,plastun,44.7561,136.2939,275.92,44,62,2.54,RU,1682369391
222,melioratorov,57.2107,65.6077,278.5,70,0,5.0,RU,1682369392
223,gamay,12.3854,125.2979,298.22,90,55,2.59,PH,1682369392
224,antsiranana,-12.2787,49.2917,298.09,90,99,1.64,MG,1682369392
225,mount pearl,47.5166,-52.7813,275.9,95,100,8.23,CA,1682369393
226,puerto baquerizo moreno,-0.9,-89.6,301.7,74,40,4.12,EC,1682369393
227,lihue,21.9789,-159.3672,298.73,83,0,3.09,US,1682369393
228,las heras,-46.5419,-68.9359,291.64,16,41,12.6,AR,1682369394
229,palmer,42.1584,-72.3287,288.14,48,75,2.57,US,1682369394
230,usevia,-7.1,31.2333,292.31,96,100,0.64,TZ,1682369394
231,nova sintra,14.8667,-24.7167,293.51,74,2,8.81,CV,1682369394
232,saudarkrokur,65.7461,-19.6394,273.94,62,37,2.95,IS,1682369395
233,bocas del toro,9.3333,-82.25,300.55,72,21,2.98,PA,1682369395
234,shingu,33.7333,135.9833,284.63,80,100,3.39,JP,1682369395
235,kirensk,57.7853,108.1119,270.7,92,100,0.86,RU,1682369108
236,port mathurin,-19.6833,63.4167,299.14,84,100,8.86,MU,1682369396
237,varberg,57.1056,12.2508,284.29,88,100,5.56,SE,1682369396
238,bamusso,4.4591,8.9027,299.65,87,62,1.96,CM,1682369396
239,lublin,51.0,23.0,286.92,80,89,4.48,PL,1682369137
240,tupiza,-21.45,-65.7167,293.67,7,0,9.35,BO,1682369397
241,labuan,5.2767,115.2417,299.35,89,20,0.0,MY,1682369397
242,talnakh,69.4865,88.3972,275.49,77,87,3.96,RU,1682369397
243,fukuecho,32.6881,128.8419,286.11,90,100,4.16,JP,1682369397
244,sao felix do xingu,-6.6447,-51.995,298.14,83,100,1.07,BR,1682369398
245,rincon,32.296,-81.2354,297.13,27,75,2.06,US,1682369398
246,blenheim,-41.516,173.9528,285.47,80,7,3.49,NZ,1682369398
247,akureyri,65.6835,-18.0878,274.11,64,75,6.17,IS,1682369398
248,malax,62.9423,21.5731,274.38,93,100,2.06,FI,1682369399
249,san clemente del tuyu,-36.3569,-56.7235,291.27,91,8,3.87,AR,1682369352
250,kurgan,55.45,65.3333,282.85,76,100,3.08,RU,1682369220
251,holualoa,19.6228,-155.9522,298.46,76,0,3.6,US,1682369337
252,new norfolk,-42.7826,147.0587,284.66,87,100,0.45,AU,1682369400
253,harstad,68.799,16.5293,271.83,79,12,0.92,NO,1682369401
254,hailar,49.2,119.7,270.1,62,95,5.56,CN,1682369401
255,motueka,-41.1333,173.0167,285.43,67,32,2.4,NZ,1682369402
256,coquimbo,-29.9533,-71.3436,291.0,72,0,4.63,CL,1682369402
